output_id,prediction_proba,risk_category,prediction_label,log_odds,threshold,prediction_timestamp
17975,0.4540652391294191,Medium,Stay,-0.18425859678026343,0.5,2025-12-10 20:24:06.170652+00:00
17974,0.9534934095354731,High,Leave,3.02053848017984,0.5,2025-12-10 20:24:06.135618+00:00
17973,0.08273261645181838,Low,Stay,-2.4057850957673867,0.5,2025-12-10 20:24:06.101985+00:00
17972,0.9469158923394367,High,Leave,2.881332681704372,0.5,2025-12-10 20:24:06.045824+00:00
17971,0.4540652391294191,Medium,Stay,-0.18425859678026343,0.5,2025-12-10 20:24:05.112150+00:00
17970,0.9534934095354731,High,Leave,3.02053848017984,0.5,2025-12-10 20:24:05.085774+00:00
17969,0.08273261645181838,Low,Stay,-2.4057850957673867,0.5,2025-12-10 20:24:05.053169+00:00
17968,0.9469158923394367,High,Leave,2.881332681704372,0.5,2025-12-10 20:24:05.014925+00:00
17967,0.4540652391294191,Medium,Stay,-0.18425859678026343,0.5,2025-12-10 20:24:04.880526+00:00
17966,0.9534934095354731,High,Leave,3.02053848017984,0.5,2025-12-10 20:24:04.862571+00:00
17965,0.08273261645181838,Low,Stay,-2.4057850957673867,0.5,2025-12-10 20:24:04.848115+00:00
17964,0.9469158923394367,High,Leave,2.881332681704372,0.5,2025-12-10 20:24:04.800959+00:00
17963,0.4540652391294191,Medium,Stay,-0.18425859678026343,0.5,2025-12-10 17:52:23.990174+00:00
17962,0.9534934095354731,High,Leave,3.02053848017984,0.5,2025-12-10 17:52:23.955459+00:00
17961,0.08273261645181838,Low,Stay,-2.4057850957673867,0.5,2025-12-10 17:52:23.914023+00:00
17960,0.9469158923394367,High,Leave,2.881332681704372,0.5,2025-12-10 17:52:23.874544+00:00
17959,0.4540652391294191,Medium,Stay,-0.18425859678026343,0.5,2025-12-10 17:52:23.003946+00:00
17958,0.9534934095354731,High,Leave,3.02053848017984,0.5,2025-12-10 17:52:22.976548+00:00
17957,0.08273261645181838,Low,Stay,-2.4057850957673867,0.5,2025-12-10 17:52:22.942320+00:00
17956,0.9469158923394367,High,Leave,2.881332681704372,0.5,2025-12-10 17:52:22.885767+00:00
17955,0.4540652391294191,Medium,Stay,-0.18425859678026343,0.5,2025-12-10 17:52:22.653512+00:00
17954,0.9534934095354731,High,Leave,3.02053848017984,0.5,2025-12-10 17:52:22.631811+00:00
17953,0.08273261645181838,Low,Stay,-2.4057850957673867,0.5,2025-12-10 17:52:22.607969+00:00
17952,0.9469158923394367,High,Leave,2.881332681704372,0.5,2025-12-10 17:52:22.553336+00:00
17951,0.4540652391294191,Medium,Stay,-0.18425859678026343,0.5,2025-12-10 15:51:48.957378+00:00
17950,0.9534934095354731,High,Leave,3.02053848017984,0.5,2025-12-10 15:51:48.911888+00:00
17949,0.08273261645181838,Low,Stay,-2.4057850957673867,0.5,2025-12-10 15:51:48.867160+00:00
17948,0.9469158923394367,High,Leave,2.881332681704372,0.5,2025-12-10 15:51:48.826440+00:00
17947,0.4540652391294191,Medium,Stay,-0.18425859678026343,0.5,2025-12-10 15:51:48.037673+00:00
17946,0.9534934095354731,High,Leave,3.02053848017984,0.5,2025-12-10 15:51:47.995151+00:00
17945,0.08273261645181838,Low,Stay,-2.4057850957673867,0.5,2025-12-10 15:51:47.949479+00:00
17944,0.9469158923394367,High,Leave,2.881332681704372,0.5,2025-12-10 15:51:47.880921+00:00
17943,0.4540652391294191,Medium,Stay,-0.18425859678026343,0.5,2025-12-10 15:51:47.552254+00:00
17942,0.9534934095354731,High,Leave,3.02053848017984,0.5,2025-12-10 15:51:47.516849+00:00
17941,0.08273261645181838,Low,Stay,-2.4057850957673867,0.5,2025-12-10 15:51:47.486547+00:00
17940,0.9469158923394367,High,Leave,2.881332681704372,0.5,2025-12-10 15:51:47.376071+00:00
17939,0.4540652391294191,Medium,Stay,-0.18425859678026343,0.5,2025-12-10 15:11:16.356807+00:00
17938,0.9534934095354731,High,Leave,3.02053848017984,0.5,2025-12-10 15:11:16.326536+00:00
